labels,train,test,all
Health Resources,4528,1940,6468
Restriction and Regulation of Businesses,3906,1674,5580
Restrictions of Mass Gatherings,2697,1156,3853
Public Awareness Measures,2315,992,3307
External Border Restrictions,2168,929,3097
Restriction and Regulation of Government Services,2084,893,2977
Quarantine,1863,799,2662
Social Distancing,1841,789,2630
Closure and Regulation of Schools,1838,788,2626
Other Policy Not Listed Above,1807,774,2581
Lockdown,1497,642,2139
Health Testing,1224,525,1749
Internal Border Restrictions,1096,469,1565
Health Monitoring,1074,460,1534
Hygiene,930,399,1329
COVID-19 Vaccines,929,398,1327
"New Task Force, Bureau or Administrative Configuration",895,384,1279
Curfew,682,292,974
Declaration of Emergency,631,271,902
Anti-Disinformation Measures,293,126,419
