,dataset,sample,ngram,max_df,min_df,solver,C,class_weight,max_iter,warm_start,context
9,coronanet,10000,"(1, 3)",0.8,0.01,liblinear,5.04,,327,False,
15,manifesto-8,10000,"(1, 2)",0.9,0.01,sag,1.04,,99,True,yes
44,cap-sotu,10000,"(1, 2)",0.8,0.01,saga,8.14,,579,True,yes
22,cap-us-court,5426,"(1, 2)",0.8,0.01,saga,772.47,balanced,825,False,
7,coronanet,5000,"(1, 2)",0.8,0.01,liblinear,3.04,,221,False,
13,manifesto-8,5000,"(1, 2)",0.9,0.01,saga,770.76,,51,True,yes
19,cap-us-court,5000,"(1, 2)",0.8,0.01,saga,775.36,balanced,618,True,
42,cap-sotu,5000,"(1, 2)",0.9,0.01,saga,12.96,,583,True,yes
1,manifesto-military,3970,"(1, 2)",0.9,0.01,lbfgs,3.67,,135,False,yes
24,manifesto-morality,3188,"(1, 2)",0.7,0.01,sag,2.35,,871,True,yes
30,sentiment-news-econ,3000,"(1, 2)",0.8,0.01,saga,3.21,,213,False,
3,manifesto-military,2500,"(1, 2)",0.9,0.01,sag,3.97,,884,True,yes
8,coronanet,2500,"(1, 2)",0.8,0.01,saga,3.69,,294,True,
14,manifesto-8,2500,"(1, 2)",0.7,0.01,sag,3.37,,568,False,yes
20,cap-us-court,2500,"(1, 2)",0.9,0.01,lbfgs,615.39,balanced,542,True,
26,manifesto-morality,2500,"(1, 2)",0.9,0.01,saga,4.26,,50,False,yes
33,sentiment-news-econ,2500,"(1, 3)",0.7,0.06,saga,5.76,,252,True,
43,cap-sotu,2500,"(1, 2)",0.7,0.01,saga,112.09,balanced,495,False,yes
39,manifesto-protectionism,2116,"(1, 2)",0.9,0.01,lbfgs,3.37,,52,False,yes
2,manifesto-military,1000,"(1, 2)",0.8,0.01,saga,151.31,,919,True,yes
6,coronanet,1000,"(1, 3)",0.9,0.01,liblinear,94.58,balanced,282,True,
12,manifesto-8,1000,"(1, 2)",0.9,0.01,saga,857.06,,52,False,yes
18,cap-us-court,1000,"(1, 2)",0.7,0.01,saga,822.71,balanced,633,False,
25,manifesto-morality,1000,"(1, 2)",0.9,0.01,lbfgs,57.92,,52,False,yes
31,sentiment-news-econ,1000,"(1, 2)",0.9,0.01,sag,4.07,,413,True,
35,sentiment-news-econ,1000,"(1, 3)",0.7,0.03,sag,15.53,,973,False,
37,manifesto-protectionism,1000,"(1, 2)",0.9,0.01,lbfgs,896.33,,903,False,yes
41,cap-sotu,1000,"(1, 2)",0.7,0.01,saga,112.09,balanced,495,False,yes
4,manifesto-military,500,"(1, 2)",0.7,0.01,saga,112.09,balanced,495,False,yes
10,coronanet,500,"(1, 2)",0.8,0.01,saga,772.47,balanced,825,False,
16,manifesto-8,500,"(1, 2)",0.7,0.01,saga,209.71,,57,False,yes
21,cap-us-court,500,"(1, 2)",0.8,0.01,saga,772.47,balanced,825,False,
27,manifesto-morality,500,"(1, 2)",0.9,0.01,sag,237.68,,734,False,yes
32,sentiment-news-econ,500,"(1, 3)",0.9,0.06,sag,213.13,,374,True,
34,sentiment-news-econ,500,"(1, 2)",0.8,0.01,saga,72.12,,72,True,
38,manifesto-protectionism,500,"(1, 2)",0.7,0.01,lbfgs,741.03,,391,False,yes
45,cap-sotu,500,"(1, 2)",0.9,0.01,sag,921.76,,125,True,yes
0,manifesto-military,100,"(1, 3)",0.8,0.03,newton-cg,3.67,,342,True,yes
5,coronanet,100,"(1, 2)",0.8,0.01,saga,775.36,balanced,618,True,
11,manifesto-8,100,"(1, 2)",0.9,0.01,sag,919.68,,51,True,yes
17,cap-us-court,100,"(1, 2)",0.8,0.03,liblinear,950.46,balanced,639,True,
23,manifesto-morality,100,"(1, 2)",0.8,0.01,saga,252.68,,65,True,yes
28,sentiment-news-econ,100,"(1, 2)",0.8,0.01,saga,798.47,,161,True,
29,sentiment-news-econ,100,"(1, 3)",0.7,0.03,lbfgs,609.95,balanced,314,True,
36,manifesto-protectionism,100,"(1, 2)",0.7,0.01,sag,390.7,,50,False,yes
40,cap-sotu,100,"(1, 3)",0.8,0.03,newton-cg,279.31,balanced,164,True,yes
