,n_sample,logistic,SVM,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.32
f1_macro_mean,100,0.17,0.14,0.16,0.28
f1_macro_mean,500,0.34,0.27,0.49,0.51
f1_macro_mean,1000,0.41,0.41,0.52,0.54
f1_macro_mean,2500,0.45,0.46,0.57,0.55
f1_macro_mean,5000,0.48,0.5,0.6,0.58
f1_macro_mean,5426 (all),0.49,0.51,0.6,0.57
f1_micro_mean,0,0.0,0.0,0.0,0.39
f1_micro_mean,100,0.45,0.44,0.44,0.4
f1_micro_mean,500,0.59,0.56,0.65,0.65
f1_micro_mean,1000,0.63,0.62,0.67,0.67
f1_micro_mean,2500,0.64,0.65,0.7,0.68
f1_micro_mean,5000,0.65,0.67,0.71,0.71
f1_micro_mean,5426 (all),0.66,0.67,0.72,0.7
f1_macro_std,0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.02,0.01,0.1,0.13
f1_macro_std,500,0.03,0.03,0.02,0.01
f1_macro_std,1000,0.01,0.01,0.01,0.01
f1_macro_std,2500,0.0,0.01,0.01,0.01
f1_macro_std,5000,0.01,0.01,0.01,0.0
f1_macro_std,5426 (all),0.0,0.0,0.01,0.01
f1_micro_std,0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.0,0.01,0.09,0.16
f1_micro_std,500,0.02,0.02,0.01,0.01
f1_micro_std,1000,0.01,0.01,0.01,0.01
f1_micro_std,2500,0.0,0.0,0.0,0.01
f1_micro_std,5000,0.0,0.0,0.01,0.01
f1_micro_std,5426 (all),0.0,0.0,0.0,0.01
