,n_sample,logistic,SVM,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.59
f1_macro_mean,100,0.4,0.26,0.59,0.59
f1_macro_mean,500,0.56,0.49,0.65,0.69
f1_macro_mean,1000,0.56,0.59,0.68,0.72
f1_macro_mean,2500,0.62,0.62,0.69,0.72
f1_macro_mean,3970 (all),0.63,0.67,0.72,0.75
f1_micro_mean,0,0.0,0.0,0.0,0.92
f1_micro_mean,100,0.77,0.42,0.9,0.88
f1_micro_mean,500,0.87,0.85,0.92,0.92
f1_micro_mean,1000,0.86,0.88,0.93,0.93
f1_micro_mean,2500,0.91,0.91,0.93,0.93
f1_micro_mean,3970 (all),0.91,0.93,0.94,0.94
f1_macro_std,0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.02,0.01,0.02,0.04
f1_macro_std,500,0.01,0.0,0.03,0.01
f1_macro_std,1000,0.01,0.01,0.0,0.01
f1_macro_std,2500,0.01,0.01,0.02,0.01
f1_macro_std,3970 (all),0.0,0.0,0.01,0.0
f1_micro_std,0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.03,0.02,0.01,0.02
f1_micro_std,500,0.01,0.01,0.01,0.0
f1_micro_std,1000,0.01,0.01,0.0,0.0
f1_micro_std,2500,0.0,0.0,0.0,0.0
f1_micro_std,3970 (all),0.0,0.0,0.0,0.0
