,dataset,sample,learning_rate,epochs,batch_size,hypothesis/context,lr_warmup_ratio,learning_rate_importance,epochs_importance,batch_size_importance,hypothesis_importance,lr_warmup_ratio_importance
14,coronanet,5000,4.6197903071938266e-05,31,32,template_quote_long_hypo,0.25,0.17,0.5,0.03,0.19,0.04
24,manifesto-8,5000,2.5610954358265684e-05,23,32,template_quote_context_long_hypo,0.25,0.03,0.07,0.01,0.46,0.41
72,cap-sotu,5000,2.910782974661089e-05,23,32,template_quote_context_long_hypo,0.25,0.05,0.62,0.01,0.13,0.08
3,manifesto-military,3970,2.08590685988187e-05,33,16,template_quote_context,0.5,0.57,0.05,0.17,0.19,0.05
45,manifesto-morality,3188,5.139069476807434e-05,25,8,template_quote_context,0.5,0.58,0.12,0.04,0.32,0.07
7,manifesto-military,2500,5.3629570679671993e-05,19,16,template_quote_context,,0.53,0.16,0.13,0.05,
17,coronanet,2500,1.2217032646463444e-05,7,32,template_quote,,0.67,0.03,0.06,0.33,
27,manifesto-8,2500,8.314470450162983e-05,17,32,template_quote_context_long_hypo,,0.63,0.2,0.19,0.04,
35,cap-us-court,2500,4.6591989032151934e-05,3,32,template_quote,,0.77,0.04,0.06,0.18,
38,manifesto-morality,2500,1.7219395428516444e-05,17,16,template_quote_2_context,,0.45,0.17,0.16,0.02,
57,sentiment-news-econ,2500,1.4177205879046634e-06,11,8,template_complex,,0.93,0.03,0.03,0.05,
75,cap-sotu,2500,5.3629570679671993e-05,19,32,template_quote_context,,0.82,0.12,0.13,0.04,
67,manifesto-protectionism,2116,2.2174357641196533e-05,17,16,template_quote_2_context,,0.5,0.15,0.17,0.03,
4,manifesto-military,1000,5.469973624651568e-06,9,8,template_quote_context,,0.61,0.12,0.01,0.22,
12,coronanet,1000,6.675214389155407e-05,11,32,template_quote,,0.1,0.46,0.35,0.17,
22,manifesto-8,1000,2.200649469244444e-05,9,16,template_quote_context,,0.1,0.15,0.68,0.05,
32,cap-us-court,1000,3.253779180787796e-05,13,32,template_quote,,0.14,0.41,0.18,0.19,
43,manifesto-morality,1000,2.200649469244444e-05,9,8,template_quote_context,,0.48,0.36,0.06,0.14,
53,sentiment-news-econ,1000,1.601462283869358e-06,13,8,template_complex,,0.62,0.19,0.14,0.05,
62,manifesto-protectionism,1000,2.200649469244444e-05,9,8,template_quote_context,,0.74,0.16,0.14,0.09,
70,cap-sotu,1000,1.2217032646463444e-05,9,16,template_quote_context,,0.48,0.19,0.01,0.26,
6,manifesto-military,500,2.200649469244444e-05,7,8,template_quote_context,,0.74,0.02,0.08,0.01,
16,coronanet,500,3.5107205953493424e-05,11,32,template_quote,,0.1,0.62,0.07,0.17,
26,manifesto-8,500,2.200649469244444e-05,7,16,template_quote_context,,0.49,0.28,0.17,0.14,
34,cap-us-court,500,6.675214389155407e-05,9,32,template_quote,,0.05,0.63,0.11,0.12,
39,manifesto-morality,500,1.2217032646463444e-05,9,8,template_quote_context,,0.6,0.17,0.01,0.12,
55,sentiment-news-econ,500,5.258168640171172e-06,9,8,template_complex,,0.56,0.11,0.22,0.16,
56,sentiment-news-econ,500,1.601462283869358e-06,15,8,template_complex,,0.5,0.12,0.19,0.13,
65,manifesto-protectionism,500,2.200649469244444e-05,7,8,template_quote_context,,0.75,0.18,0.21,0.07,
74,cap-sotu,500,2.200649469244444e-05,7,16,template_quote_context,,0.71,0.1,0.02,0.12,
2,manifesto-military,100,4.4725914938671344e-06,9,8,template_quote_2,,0.78,0.09,0.04,0.04,
11,coronanet,100,1.941451498370416e-05,11,32,template_quote,,0.08,0.38,0.27,0.28,
21,manifesto-8,100,6.438997796729219e-05,11,16,template_quote,,0.25,0.25,0.18,0.25,
31,cap-us-court,100,8.190329427496868e-05,9,32,template_quote,,0.19,0.36,0.35,0.25,
44,manifesto-morality,100,2.513841230249365e-05,15,8,template_quote,,0.49,0.16,0.12,0.1,
51,sentiment-news-econ,100,2.0871100378973956e-05,7,4,template_quote,,0.84,0.09,0.09,0.0,
52,sentiment-news-econ,100,1.242790511988806e-05,17,16,template_quote,,0.63,0.11,0.17,0.01,
61,manifesto-protectionism,100,3.715821709222984e-05,11,8,template_quote,,0.56,0.11,0.15,0.03,
69,cap-sotu,100,1.2217032646463444e-05,11,16,template_quote_context,,0.66,0.11,0.19,0.21,
