,n_sample,logistic_tfidf,SVM_tfidf,logistic_embeddings,SVM_embeddings,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.0,0.0,0.39
f1_macro_mean,100,0.22,0.04,0.25,0.22,0.29,0.47
f1_macro_mean,500,0.39,0.38,0.44,0.45,0.6,0.57
f1_macro_mean,1000,0.43,0.45,0.5,0.48,0.65,0.61
f1_macro_mean,2500,0.49,0.49,0.56,0.57,0.69,0.64
f1_macro_mean,5000,0.52,0.53,0.6,0.61,0.71,0.68
f1_macro_mean,10000,0.55,0.57,0.62,0.64,0.74,0.7
f1_micro_mean,0,0.0,0.0,0.0,0.0,0.0,0.37
f1_micro_mean,100,0.29,0.09,0.34,0.32,0.38,0.48
f1_micro_mean,500,0.44,0.43,0.49,0.48,0.62,0.59
f1_micro_mean,1000,0.47,0.48,0.52,0.52,0.67,0.63
f1_micro_mean,2500,0.54,0.51,0.6,0.6,0.7,0.66
f1_micro_mean,5000,0.57,0.57,0.62,0.63,0.72,0.7
f1_micro_mean,10000,0.6,0.61,0.64,0.66,0.74,0.72
f1_macro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.0,0.03,0.02,0.01,0.03,0.02
f1_macro_std,500,0.01,0.01,0.01,0.0,0.05,0.02
f1_macro_std,1000,0.01,0.0,0.0,0.0,0.01,0.02
f1_macro_std,2500,0.01,0.01,0.0,0.0,0.01,0.01
f1_macro_std,5000,0.0,0.0,0.0,0.0,0.01,0.01
f1_macro_std,10000,0.0,0.0,0.0,0.0,0.0,0.01
f1_micro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.02,0.02,0.03,0.03,0.02,0.01
f1_micro_std,500,0.01,0.01,0.01,0.01,0.04,0.02
f1_micro_std,1000,0.01,0.0,0.0,0.0,0.01,0.01
f1_micro_std,2500,0.0,0.0,0.0,0.0,0.01,0.01
f1_micro_std,5000,0.0,0.0,0.0,0.0,0.01,0.0
f1_micro_std,10000,0.0,0.0,0.0,0.0,0.0,0.01
