,dataset,sample,learning_rate,epochs,batch_size,hypothesis/context,lr_warmup_ratio,learning_rate_importance,epochs_importance,batch_size_importance,hypothesis_importance,lr_warmup_ratio_importance
14,coronanet,5000,4.6197903071938266e-05,31,32,template_quote_long_hypo,0.25,0.21,0.56,0.06,0.06,0.04
24,manifesto-8,5000,2.5610954358265684e-05,23,32,template_quote_context_long_hypo,0.25,0.05,0.01,0.03,0.46,0.29
72,cap-sotu,5000,2.910782974661089e-05,23,32,template_quote_context_long_hypo,0.25,0.02,0.65,0.01,0.19,0.06
3,manifesto-military,3970,2.08590685988187e-05,33,16,template_quote_context,0.5,0.6,0.05,0.11,0.13,0.08
45,manifesto-morality,3188,5.139069476807434e-05,25,8,template_quote_context,0.5,0.49,0.05,0.09,0.26,0.03
7,manifesto-military,2500,5.3629570679671993e-05,19,16,template_quote_context,,0.63,0.19,0.14,0.09,
17,coronanet,2500,1.2217032646463444e-05,7,32,template_quote,,0.73,0.02,0.11,0.37,
27,manifesto-8,2500,8.314470450162983e-05,17,32,template_quote_context_long_hypo,,0.61,0.15,0.11,0.14,
35,cap-us-court,2500,4.6591989032151934e-05,3,32,template_quote,,0.65,0.05,0.11,0.1,
38,manifesto-morality,2500,1.7219395428516444e-05,17,16,template_quote_2_context,,0.56,0.13,0.28,0.06,
57,sentiment-news-econ,2500,1.4177205879046634e-06,11,8,template_complex,,0.87,0.1,0.0,0.09,
75,cap-sotu,2500,5.3629570679671993e-05,19,32,template_quote_context,,0.68,0.05,0.19,0.04,
67,manifesto-protectionism,2116,2.2174357641196533e-05,17,16,template_quote_2_context,,0.6,0.1,0.11,0.03,
4,manifesto-military,1000,5.469973624651568e-06,9,8,template_quote_context,,0.51,0.3,0.02,0.2,
12,coronanet,1000,6.675214389155407e-05,11,32,template_quote,,0.1,0.35,0.28,0.08,
22,manifesto-8,1000,2.200649469244444e-05,9,16,template_quote_context,,0.13,0.11,0.69,0.01,
32,cap-us-court,1000,3.253779180787796e-05,13,32,template_quote,,0.25,0.45,0.22,0.15,
43,manifesto-morality,1000,2.200649469244444e-05,9,8,template_quote_context,,0.47,0.23,0.03,0.18,
53,sentiment-news-econ,1000,1.601462283869358e-06,13,8,template_complex,,0.56,0.22,0.14,0.14,
62,manifesto-protectionism,1000,2.200649469244444e-05,9,8,template_quote_context,,0.65,0.15,0.11,0.06,
70,cap-sotu,1000,1.2217032646463444e-05,9,16,template_quote_context,,0.59,0.27,0.03,0.28,
6,manifesto-military,500,2.200649469244444e-05,7,8,template_quote_context,,0.91,0.05,0.08,0.08,
16,coronanet,500,3.5107205953493424e-05,11,32,template_quote,,0.03,0.68,0.1,0.19,
26,manifesto-8,500,2.200649469244444e-05,7,16,template_quote_context,,0.39,0.33,0.17,0.15,
34,cap-us-court,500,6.675214389155407e-05,9,32,template_quote,,0.08,0.61,0.09,0.21,
39,manifesto-morality,500,1.2217032646463444e-05,9,8,template_quote_context,,0.59,0.15,0.05,0.17,
55,sentiment-news-econ,500,5.258168640171172e-06,9,8,template_complex,,0.41,0.07,0.36,0.19,
56,sentiment-news-econ,500,1.601462283869358e-06,15,8,template_complex,,0.49,0.12,0.21,0.15,
65,manifesto-protectionism,500,2.200649469244444e-05,7,8,template_quote_context,,0.81,0.13,0.08,0.03,
74,cap-sotu,500,2.200649469244444e-05,7,16,template_quote_context,,0.66,0.1,0.01,0.21,
2,manifesto-military,100,4.4725914938671344e-06,9,8,template_quote_2,,0.9,0.06,0.07,0.02,
11,coronanet,100,1.941451498370416e-05,11,32,template_quote,,0.09,0.47,0.23,0.19,
21,manifesto-8,100,6.438997796729219e-05,11,16,template_quote,,0.24,0.45,0.18,0.22,
31,cap-us-court,100,8.190329427496868e-05,9,32,template_quote,,0.17,0.41,0.21,0.34,
44,manifesto-morality,100,2.513841230249365e-05,15,8,template_quote,,0.5,0.19,0.15,0.06,
51,sentiment-news-econ,100,2.0871100378973956e-05,7,4,template_quote,,0.69,0.21,0.15,0.01,
52,sentiment-news-econ,100,1.242790511988806e-05,17,16,template_quote,,0.7,0.09,0.16,0.02,
61,manifesto-protectionism,100,3.715821709222984e-05,11,8,template_quote,,0.64,0.17,0.16,0.04,
69,cap-sotu,100,1.2217032646463444e-05,11,16,template_quote_context,,0.62,0.07,0.12,0.19,
