,n_sample,logistic_tfidf,SVM_tfidf,logistic_embeddings,SVM_embeddings,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.0,0.0,0.36
f1_macro_mean,100,0.12,0.11,0.16,0.14,0.2,0.47
f1_macro_mean,500,0.29,0.28,0.3,0.29,0.47,0.52
f1_macro_mean,1000,0.34,0.35,0.37,0.36,0.52,0.55
f1_macro_mean,2500,0.36,0.38,0.42,0.43,0.62,0.59
f1_macro_mean,5000,0.39,0.41,0.46,0.48,0.68,0.63
f1_macro_mean,10000,0.41,0.42,0.49,0.52,0.68,0.66
f1_micro_mean,0,0.0,0.0,0.0,0.0,0.0,0.42
f1_micro_mean,100,0.25,0.23,0.34,0.32,0.43,0.54
f1_micro_mean,500,0.43,0.42,0.41,0.43,0.59,0.57
f1_micro_mean,1000,0.46,0.48,0.47,0.45,0.6,0.59
f1_micro_mean,2500,0.47,0.5,0.51,0.49,0.67,0.64
f1_micro_mean,5000,0.52,0.53,0.54,0.54,0.7,0.67
f1_micro_mean,10000,0.54,0.55,0.56,0.57,0.7,0.7
f1_macro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.01,0.01,0.01,0.01,0.02,0.01
f1_macro_std,500,0.01,0.01,0.01,0.01,0.02,0.01
f1_macro_std,1000,0.0,0.0,0.0,0.0,0.02,0.01
f1_macro_std,2500,0.0,0.01,0.01,0.01,0.02,0.01
f1_macro_std,5000,0.01,0.01,0.01,0.01,0.01,0.01
f1_macro_std,10000,0.0,0.0,0.0,0.0,0.0,0.02
f1_micro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.01,0.01,0.02,0.02,0.02,0.02
f1_micro_std,500,0.01,0.01,0.0,0.01,0.01,0.02
f1_micro_std,1000,0.01,0.01,0.0,0.0,0.01,0.02
f1_micro_std,2500,0.0,0.0,0.01,0.0,0.0,0.01
f1_micro_std,5000,0.0,0.0,0.0,0.01,0.01,0.01
f1_micro_std,10000,0.0,0.0,0.0,0.0,0.0,0.01
