,n_sample,logistic_tfidf,SVM_tfidf,logistic_embeddings,SVM_embeddings,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.0,0.0,0.32
f1_macro_mean,100,0.172,0.14,0.239,0.21,0.156,0.285
f1_macro_mean,500,0.343,0.272,0.387,0.355,0.491,0.511
f1_macro_mean,1000,0.411,0.406,0.452,0.43,0.519,0.542
f1_macro_mean,2500,0.45,0.463,0.503,0.503,0.569,0.553
f1_macro_mean,5000,0.484,0.499,0.532,0.536,0.601,0.581
f1_macro_mean,5426 (all),0.487,0.512,0.539,0.555,0.599,0.574
f1_micro_mean,0,0.0,0.0,0.0,0.0,0.0,0.39
f1_micro_mean,100,0.454,0.438,0.507,0.496,0.439,0.399
f1_micro_mean,500,0.594,0.564,0.584,0.586,0.652,0.651
f1_micro_mean,1000,0.631,0.621,0.602,0.619,0.667,0.668
f1_micro_mean,2500,0.645,0.653,0.666,0.636,0.699,0.679
f1_micro_mean,5000,0.654,0.669,0.675,0.687,0.715,0.705
f1_micro_mean,5426 (all),0.655,0.673,0.68,0.693,0.721,0.7
f1_macro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.018,0.013,0.024,0.028,0.105,0.126
f1_macro_std,500,0.032,0.03,0.013,0.013,0.016,0.015
f1_macro_std,1000,0.015,0.009,0.01,0.008,0.009,0.011
f1_macro_std,2500,0.002,0.007,0.009,0.012,0.01,0.01
f1_macro_std,5000,0.007,0.008,0.008,0.01,0.008,0.004
f1_macro_std,5426 (all),0.001,0.0,0.001,0.0,0.009,0.011
f1_micro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.004,0.007,0.006,0.014,0.094,0.159
f1_micro_std,500,0.019,0.016,0.003,0.007,0.008,0.006
f1_micro_std,1000,0.011,0.008,0.008,0.013,0.011,0.012
f1_micro_std,2500,0.005,0.002,0.002,0.008,0.004,0.005
f1_micro_std,5000,0.003,0.003,0.004,0.002,0.007,0.012
f1_micro_std,5426 (all),0.001,0.0,0.001,0.0,0.004,0.007
