,n_sample,logistic_tfidf,SVM_tfidf,logistic_embeddings,SVM_embeddings,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.0,0.0,0.386
f1_macro_mean,100,0.215,0.043,0.252,0.223,0.291,0.474
f1_macro_mean,500,0.393,0.381,0.443,0.446,0.599,0.568
f1_macro_mean,1000,0.428,0.449,0.497,0.482,0.652,0.605
f1_macro_mean,2500,0.488,0.486,0.564,0.573,0.694,0.64
f1_macro_mean,5000,0.519,0.528,0.597,0.608,0.71,0.684
f1_macro_mean,10000,0.553,0.569,0.62,0.638,0.737,0.698
f1_micro_mean,0,0.0,0.0,0.0,0.0,0.0,0.369
f1_micro_mean,100,0.288,0.091,0.345,0.318,0.38,0.48
f1_micro_mean,500,0.441,0.429,0.494,0.484,0.62,0.59
f1_micro_mean,1000,0.471,0.48,0.525,0.516,0.668,0.634
f1_micro_mean,2500,0.544,0.514,0.6,0.603,0.703,0.663
f1_micro_mean,5000,0.573,0.574,0.623,0.634,0.719,0.703
f1_micro_mean,10000,0.598,0.609,0.641,0.661,0.744,0.717
f1_macro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.004,0.027,0.016,0.01,0.032,0.017
f1_macro_std,500,0.01,0.009,0.007,0.003,0.05,0.018
f1_macro_std,1000,0.012,0.003,0.003,0.004,0.011,0.016
f1_macro_std,2500,0.006,0.007,0.005,0.004,0.007,0.006
f1_macro_std,5000,0.002,0.004,0.002,0.003,0.005,0.007
f1_macro_std,10000,0.003,0.003,0.002,0.002,0.0,0.008
f1_micro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.019,0.022,0.028,0.028,0.015,0.005
f1_micro_std,500,0.013,0.012,0.012,0.008,0.044,0.017
f1_micro_std,1000,0.007,0.001,0.004,0.004,0.01,0.01
f1_micro_std,2500,0.004,0.005,0.003,0.003,0.006,0.009
f1_micro_std,5000,0.001,0.003,0.002,0.002,0.006,0.003
f1_micro_std,10000,0.001,0.002,0.002,0.002,0.002,0.007
