,n_sample,logistic_tfidf,SVM_tfidf,logistic_embeddings,SVM_embeddings,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.0,0.0,0.018
f1_macro_mean,100,0.208,0.153,0.27,0.138,0.228,0.317
f1_macro_mean,500,0.294,0.3,0.342,0.348,0.271,0.445
f1_macro_mean,1000,0.298,0.297,0.367,0.37,0.429,0.466
f1_macro_mean,2500,0.342,0.348,0.396,0.407,0.479,0.49
f1_macro_mean,5000,0.337,0.375,0.412,0.426,0.499,0.511
f1_macro_mean,10000,0.389,0.395,0.423,0.443,0.522,0.53
f1_micro_mean,0,0.0,0.0,0.0,0.0,0.0,0.016
f1_micro_mean,100,0.362,0.336,0.384,0.365,0.353,0.384
f1_micro_mean,500,0.418,0.417,0.467,0.481,0.445,0.52
f1_micro_mean,1000,0.412,0.4,0.507,0.508,0.557,0.565
f1_micro_mean,2500,0.489,0.442,0.539,0.548,0.602,0.589
f1_micro_mean,5000,0.452,0.518,0.549,0.564,0.614,0.609
f1_micro_mean,10000,0.535,0.537,0.555,0.577,0.636,0.629
f1_macro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.011,0.003,0.016,0.013,0.016,0.013
f1_macro_std,500,0.014,0.01,0.008,0.008,0.15,0.009
f1_macro_std,1000,0.005,0.004,0.002,0.004,0.012,0.009
f1_macro_std,2500,0.002,0.003,0.003,0.004,0.006,0.004
f1_macro_std,5000,0.001,0.001,0.008,0.006,0.002,0.006
f1_macro_std,10000,0.002,0.002,0.001,0.001,0.006,0.005
f1_micro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.012,0.01,0.02,0.017,0.007,0.034
f1_micro_std,500,0.003,0.008,0.003,0.001,0.094,0.011
f1_micro_std,1000,0.005,0.002,0.003,0.002,0.007,0.015
f1_micro_std,2500,0.001,0.006,0.002,0.002,0.001,0.007
f1_micro_std,5000,0.004,0.002,0.005,0.003,0.01,0.004
f1_micro_std,10000,0.002,0.002,0.002,0.0,0.004,0.006
