,n_sample,logistic_tfidf,SVM_tfidf,logistic_embeddings,SVM_embeddings,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.0,0.0,0.591
f1_macro_mean,100,0.399,0.26,0.48,0.463,0.594,0.59
f1_macro_mean,500,0.563,0.492,0.52,0.56,0.65,0.688
f1_macro_mean,1000,0.564,0.587,0.555,0.602,0.685,0.718
f1_macro_mean,2500,0.622,0.621,0.603,0.621,0.695,0.715
f1_macro_mean,3970 (all),0.629,0.668,0.602,0.64,0.72,0.746
f1_micro_mean,0,0.0,0.0,0.0,0.0,0.0,0.924
f1_micro_mean,100,0.765,0.424,0.784,0.764,0.904,0.884
f1_micro_mean,500,0.867,0.845,0.824,0.862,0.925,0.924
f1_micro_mean,1000,0.865,0.877,0.853,0.883,0.926,0.934
f1_micro_mean,2500,0.907,0.909,0.885,0.894,0.93,0.934
f1_micro_mean,3970 (all),0.911,0.933,0.883,0.903,0.937,0.937
f1_macro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.018,0.01,0.017,0.014,0.018,0.036
f1_macro_std,500,0.006,0.004,0.019,0.022,0.03,0.011
f1_macro_std,1000,0.015,0.008,0.01,0.012,0.004,0.011
f1_macro_std,2500,0.005,0.012,0.008,0.002,0.015,0.009
f1_macro_std,3970 (all),0.0,0.0,0.0,0.0,0.007,0.005
f1_micro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.028,0.024,0.009,0.021,0.011,0.02
f1_micro_std,500,0.006,0.012,0.006,0.004,0.009,0.003
f1_micro_std,1000,0.011,0.005,0.009,0.007,0.004,0.001
f1_micro_std,2500,0.002,0.004,0.004,0.003,0.002,0.003
f1_micro_std,3970 (all),0.0,0.0,0.0,0.0,0.001,0.002
