,n_sample,logistic_tfidf,SVM_tfidf,logistic_embeddings,SVM_embeddings,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.0,0.0,0.456
f1_macro_mean,100,0.403,0.333,0.441,0.437,0.413,0.499
f1_macro_mean,500,0.439,0.459,0.419,0.49,0.585,0.598
f1_macro_mean,1000,0.487,0.495,0.488,0.554,0.672,0.637
f1_macro_mean,2500,0.533,0.574,0.557,0.56,0.709,0.702
f1_macro_mean,3188 (all),0.555,0.586,0.578,0.608,0.688,0.689
f1_micro_mean,0,0.0,0.0,0.0,0.0,0.0,0.9
f1_micro_mean,100,0.718,0.617,0.74,0.735,0.709,0.848
f1_micro_mean,500,0.755,0.783,0.701,0.789,0.864,0.865
f1_micro_mean,1000,0.796,0.817,0.783,0.838,0.903,0.883
f1_micro_mean,2500,0.847,0.894,0.836,0.827,0.914,0.914
f1_micro_mean,3188 (all),0.859,0.885,0.842,0.849,0.903,0.909
f1_macro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.028,0.01,0.011,0.012,0.083,0.029
f1_macro_std,500,0.021,0.023,0.013,0.025,0.015,0.024
f1_macro_std,1000,0.008,0.009,0.012,0.008,0.014,0.012
f1_macro_std,2500,0.005,0.006,0.011,0.002,0.013,0.02
f1_macro_std,3188 (all),0.0,0.0,0.0,0.0,0.019,0.016
f1_micro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.064,0.035,0.013,0.018,0.131,0.024
f1_micro_std,500,0.015,0.011,0.014,0.014,0.02,0.019
f1_micro_std,1000,0.008,0.009,0.008,0.004,0.006,0.006
f1_micro_std,2500,0.004,0.003,0.002,0.001,0.007,0.01
f1_micro_std,3188 (all),0.0,0.0,0.0,0.0,0.014,0.003
