,n_sample,logistic_tfidf,SVM_tfidf,logistic_embeddings,SVM_embeddings,deberta-v3-base,deberta-v3-nli
f1_macro_mean,0,0.0,0.0,0.0,0.0,0.0,0.382
f1_macro_mean,100,0.516,0.445,0.522,0.503,0.582,0.585
f1_macro_mean,500,0.532,0.551,0.596,0.544,0.641,0.695
f1_macro_mean,1000,0.5,0.644,0.547,0.609,0.69,0.7
f1_macro_mean,2116 (all),0.628,0.668,0.619,0.634,0.723,0.747
f1_micro_mean,0,0.0,0.0,0.0,0.0,0.0,0.719
f1_micro_mean,100,0.834,0.791,0.816,0.792,0.809,0.847
f1_micro_mean,500,0.832,0.869,0.874,0.822,0.859,0.902
f1_micro_mean,1000,0.795,0.908,0.818,0.869,0.902,0.898
f1_micro_mean,2116 (all),0.887,0.915,0.881,0.889,0.922,0.924
f1_macro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_macro_std,100,0.011,0.01,0.014,0.024,0.028,0.007
f1_macro_std,500,0.009,0.0,0.003,0.003,0.012,0.016
f1_macro_std,1000,0.011,0.01,0.009,0.008,0.008,0.024
f1_macro_std,2116 (all),0.0,0.0,0.0,0.0,0.017,0.018
f1_micro_std,0,0.0,0.0,0.0,0.0,0.0,0.0
f1_micro_std,100,0.018,0.021,0.02,0.041,0.053,0.005
f1_micro_std,500,0.01,0.01,0.004,0.004,0.017,0.007
f1_micro_std,1000,0.02,0.006,0.007,0.006,0.007,0.014
f1_micro_std,2116 (all),0.0,0.0,0.0,0.0,0.009,0.009
