idx,label,label_text,text_original,label_domain_text,label_subcat_text,text_preceding,text_following,manifesto_id,doc_id,country_name,date,party,cmp_code_hb4,cmp_code,label_subcat_text_simple
24087,2,Other,Under the SNP Government at Holyrood: Tuition fees have been scrapped – and more young people than ever before are going to university,Welfare and Quality of Life,Education Expansion,Crimes of handling an offensive weapon (including knives) have reduced by 62 per cent since 200607.,We’ve introduced the new Curriculum for Excellence and invested in new school buildings so more of our children can enjoy the best possible learning environment,51902_201505,27,United Kingdom,201505,51902,506,506,Education
114426,2,Other,We’ve partnered with industry through 22 R&D programmes in the $759m Primary Growth Partnership,Social Groups,Agriculture and Farmers: Positive,We will allow young farming families to buy their first farm through the sale of Landcorp farms,These programmes will help us achieve our goal of doubling the value of our exports to $64b by 2025,64620_201709,133,New Zealand,201709,64620,703,703.1,Agriculture and Farmers: Positive
102346,2,Other,"It is UnitedFuture Policy to:  Accept the recommendations of the Constitutional Advisory Panel to continue the ""constitutional conversation"".",Freedom and Democracy,Constitutionalism: Negative,UnitedFuture will endeavour to listen to all ethnic groups in New Zealand and work together in ensuring that their valuable representations are heard on various issues.,UnitedFuture will work with the government to ensure that ethnic communities are given opportunities to have a deeper understanding of the Treaty of Waitangi and tangata whenua;,64421_201409,123,New Zealand,201409,64421,204,204,Constitutionalism
17562,2,Other,"They form a key part of British life, valued for their contribution to every community across the country.",Economy,Incentives: Positive,We understand that small businesses are the wellspring of growth.,"We will continue to support small businesses through business rate relief and low taxation,",51620_201706,19,United Kingdom,201706,51620,402,402,Incentives: Positive
53059,2,Other,f)  Jobs created for the under-25s.,Social Groups,Non-economic Demographic Groups,Provide start-up funding and other support co-operatives as a viable choice for start-up businesses and the conversion to co-operatives as an alternative to closure for struggling businesses.,"A Youth Jobs Fund to create 20,000 new jobs and an individual plan for the long-term prospects of every person under 25 who is on the Live Register.",53951_201102,55,Ireland,201102,53951,706,706,Non-economic Demographic Groups
16464,2,Other,We will help public libraries to support local communities by providing free wi-fi.,Welfare and Quality of Life,Culture: Positive,"And we will continue to support essential roof repairs for our cathedrals and churches, along with other places of worship.","And we will assist them in embracing the digital age by working with them to ensure remote access to e-books, without charge and with appropriate compensation for authors that enhances the Public Lending Right scheme.",51620_201505,18,United Kingdom,201505,51620,502,502,Culture: Positive
16966,2,Other,This leaves a space for resentment to fester – and put our Union in jeopardy.,Freedom and Democracy,Constitutionalism: Negative,"And one fundamental unfairness remains today: Scottish MPs are able to cast the decisive vote on matters that only affected England and Wales, while English and Welsh MPs cannot vote on matters that only affect Scotland.",We have tackled the problems we inherited.,51620_201505,18,United Kingdom,201505,51620,204,204,Constitutionalism
57999,2,Other,"Democrats will fight to bring an end to sexual assault—wherever it occurs, including on campuses—",Welfare and Quality of Life,Equality: Positive,We will support comprehensive services for survivors of violence and increase prevention efforts in our communities and on our campuses.,"because everyone deserves a safe environment where they can learn and thrive, not live in fear.",61320_201611,61,United States,201611,61320,503,503,Equality: Positive
51660,2,Other,"Immediately provide for a universal pre-school session of 3. 5 hours a day, five days a week for all children aged 3-5 years.",Welfare and Quality of Life,Welfare State Expansion,and distributed tens of thousands of newsletters throughout the country outlining our proposals and challenging the Government on its failure to deliver.,"Expand the National Childcare Investment Programme to increase capital, staffing and operational funding.",53951_200705,54,Ireland,200705,53951,504,504,Welfare State
84051,2,Other,Genuine regional development occurs when communities leverage their assets to achieve new economic opportunities.,Economy,Free Market Economy,Simply encouraging new industries from outside the region to set up shop is no longer enough.,"This requires dynamic leadership, openness to new ideas and a can-do attitude in the community.",63810_201008,94,Australia,201008,63810,401,401,Free Market Economy
348,2,Other,mandatory labelling of meat and dairy products as to method of production and method of slaughter.,Welfare and Quality of Life,Environmental Protection,Improved food labelling and better traceability of our food to prevent further food scandals such as the horse meat scandal;,Mandatory CCTV in all slaughterhouses.,51110_201505,1,United Kingdom,201505,51110,501,501,Environmental Protection
110559,2,Other,Budget 2014 set out operating allowances of $1.5 billion a year (rising at 2 per cent each Budget) for discretionary new spending and tax reduction measures over the next term.,Economy,Economic Orthodoxy,"Return to surplus this year and stay in surplus so we can start repaying debt, rebuild our fiscal buffers and help to keep interest rates lower than they would otherwise be.","It confirmed there is room to move some of the allowances between Budgets, provided they average around $1.5 billion a year and economic conditions permit.",64620_201409,132,New Zealand,201409,64620,414,414,Economic Orthodoxy
52688,2,Other,"We will dedicate a Minister of State with sole responsibility for pursuing the objectives of the National Drugs Strategy,",Political System,Decentralization,Sinn Féin proposes to take a more serious approach to the drugs crisis than any previous Irish Government.,"for fully funding the necessary prevention, education and treatment programmes,",53951_200705,54,Ireland,200705,53951,301,301,Centralisation & Decentralisation
78618,2,Other,"With Labor, families earning less than $100,000 will maintain their FTB at current rates.",Welfare and Quality of Life,Welfare State Expansion,Labor will reverse the Abbott-Turnbull Government’s cuts to Family Tax Benefits (FTB).,"For families earning over $100,000 there will be a modest reduction of 50 per cent of their FTB-A end of year supplement.",63320_201607,77,Australia,201607,63320,504,504,Welfare State
74159,2,Other,National TAFE Funding Guarantee,Economy,Technology and Infrastructure: Positive,"Labor’s Girls into Code will ensure these programs are offered in more places, to more girls so that in the future Australian women are just as equipped to benefit from the jobs of the future as men will be.","Under the Abbott-Turnbull Government, Australia’s TAFEs are struggling.",63320_201607,77,Australia,201607,63320,411,411,Technology and Infrastructure: Positive
117631,2,Other,"Review the medical students pathway with a focus on future proofing the system, and ensuring it is set up in a way to service the future health needs of New Zealanders.",Welfare and Quality of Life,Education Expansion,Explore amending the recent changes to the Student Loan system to ensure Graduate Entry Medical Students are not disadvantaged compared to their peers.,"Use a range of measures to ensure the adequate recruitment and retention of health professionals in rural areas including: consideration of student loan abatements; fees reductions; scholarships and bonding schemes; amending the definition of ‘rural’ in relation to the rural GP premiums and lifting the levels of primary healthcare premiums; the development of a robust peer support programme for rural practitioners; an alternative route for the registration of family doctors; the supply of locums to enable ongoing training, support and a sustainable quality lifestyle; and resources for visiting specialists.",64621_201409,136,New Zealand,201409,64621,506,506,Education
97316,2,Other,Abrupt change would carry with it huge costs.,Welfare and Quality of Life,Environmental Protection,"We have built our infrastructure, our society, and our farming practices around a certain set of climatic conditions.",The cost of doing nothing is far higher than the cost of mitigating climate change.,64320_201709,109,New Zealand,201709,64320,501,501,Environmental Protection
97679,2,Other,Negotiations on FPAs will begin once a sufficient percentage of employers or employees within an industry call for one.,Social Groups,Labour Groups: Positive,FPAs will cover all employees and workplaces within the relevant industry.,This threshold and the precise implementation of FPAs will be developed in government in consultation with all stakeholders.,64320_201709,109,New Zealand,201709,64320,701,701,Labour Groups
65638,2,Other,"made unconstitutional “recess” appointments to Senate-confirmed positions,",Freedom and Democracy,Constitutionalism: Positive,"used executive orders to enact national policies in areas constitutionally reserved solely to Congress,","directed regulatory agencies to overstep their statutory authority,",61620_201611,66,United States,201611,61620,203,203,Constitutionalism
57842,2,Other,We must find ways to encourage mentoring programs that support students in reaching their full potential.,Welfare and Quality of Life,Education Expansion,and inspire learning at a time when many students are left unsupervised.,Mentoring is a strategy to ensure that children living in poverty have the encouragement and support to aim high and enter the middle class.,61320_201611,61,United States,201611,61320,506,506,Education
3353,2,Other,"At the moment, huge corporations tend to use their power to generate profit for a small number of people and to reduce the amount of tax they pay.",Economy,Market Regulation,In a transformed green economy we will need to harness the power and influence of businesses to do good.,"We think it’s time to straighten things out, so nobody can abuse the tax system and dodge their responsibilities.",51110_201912,3,United Kingdom,201912,51110,403,403,Market Regulation
9421,2,Other,"The SDLP will call for a reform of the welfare system that doesn’t punish young families but offers parents, and particularly mothers, the opportunity and support for reentering the workforce.",Welfare and Quality of Life,Welfare State Expansion,The SDLP support the provision of independent welfare advice for young families.,The SDLP will continue to call for the introduction of a comprehensive childcare strategy as promised in the most recent Programme for Government.,51340_201505,11,United Kingdom,201505,51340,504,504,Welfare State
90874,2,Other,The Green Investment Bank will operate at arms-length from government,Political System,Governmental and Administrative Efficiency,"US$11 billion of green bonds were issued in 2013.  World Bank President, Jim Yong Kim, predicts $50 billion of green bonds will be issued in 2015. 8",but will operate under a mandate to prioritise investment in decarbonising our economy and making our economy more resource and energy efficient.,64110_201409,101,New Zealand,201409,64110,303,303,Governmental and Administrative Efficiency
98643,2,Other,"Where premiums are less than the specified amount, the extra money can be used to insure against other healthcare costs in a way that takes into account personal and family responsibilities.",Welfare and Quality of Life,Welfare State Expansion,An annual sum of money will be available from the government to purchase personal ‘catastrophic’ health insurance from an approved health insurance provider.,"Where people choose not to manage their own health insurance, the government will buy a catastrophic healthcare policy for each person.",64420_199610,112,New Zealand,199610,64420,504,504,Welfare State
23484,2,Other,We would reconnect communities,Economy,Technology and Infrastructure: Positive,without ruling out the possibility of public ownership.,and re-open key strategic lines including direct rail links with airports.,51902_200106,26,United Kingdom,200106,51902,411,411,Technology and Infrastructure: Positive
67567,2,Other,We reaffirm our intention to end federal support for boondoggles like California's high-speed train to nowhere.,Economy,Free Market Economy,The same holds true with regard to high-speed and intercity rail across the country.,"The digital revolution has transformed how we work, learn, sell, shop, socialize — in short, how we live.",61620_202011,67,United States,202011,61620,401,401,Free Market Economy
109977,2,Other,Investing $35 million in Professional Learning and Development specifically targeted at learning with digital technologies.,Welfare and Quality of Life,Education Expansion,Providing more computers in homes and digital literacy training for low-income families.,Developed the e-Learning website to provide better information and support for schools to succeed in a digital world.,64620_201409,132,New Zealand,201409,64620,506,506,Education
11620,2,Other,and set stretching standards to improve the physical health of people with mental health problems.,Welfare and Quality of Life,Welfare State Expansion,"Introduce care navigators so people get help finding their way around the system,","To improve wellbeing and make the UK more mental health-friendly, we will: Publish a national wellbeing strategy, which puts better health and wellbeing for all at the heart of government policy.",51421_201505,14,United Kingdom,201505,51421,504,504,Welfare State
117240,2,Other,Review the current staffing allocation model,Welfare and Quality of Life,Education Expansion,Provide resourcing support within the senior secondary school system to enable clearer provision of vocational pathways for students who wish to pursue options other than academic and university education post school.,"and encourage New Zealand based research into the identification and measurement of relative impact, of the factors including actual class size, that impact on the ability of teachers to use the pedagogies and student focus embedded within the New Zealand curriculum and its effect on student outcomes.",64621_201409,136,New Zealand,201409,64621,506,506,Education
90449,2,Other,Forestry will be credited at $12.50 per tonne.,Social Groups,Agriculture and Farmers: Positive,Dairy emissions will pay $12.50 per tonne.,"Recycle all revenues raised from a carbon charge back to families and businesses through a $2,000 income tax-free band",64110_201409,101,New Zealand,201409,64110,703,703.1,Agriculture and Farmers: Positive
61672,2,Other,All of the tax relief provided over the last four years will be eliminated in the next six years if Congress does not take action to make the relief permanent.,Economy,Economic Goals,"Furthermore, the slim majority held by Republicans in the Senate and the rules of the Senate make it difficult to pass permanent tax relief.","Our Party endorses the President's proposals to make tax relief permanent, so that families and businesses can plan for the future with confidence.",61620_200411,63,United States,200411,61620,408,408,Economic Goals
44470,2,Other,"Through the work of Culture Ireland, Fine Gael will continue to support opportunities for Irish artists to present their work abroad, which has significant benefits for Irish artists, as well as attracting business and tourism to our shores.",Welfare and Quality of Life,Culture: Positive,International Artistic Footprint: Ireland is recognised worldwide as a country of immense cultural talent and artistic creativity.,"Creative Education: Fine Gael acknowledges the benefits to children who engage in the arts and will continue to implement the Arts in Education Charter, which provides an unprecedented opportunity for children and young people to engage in a proactive and meaningful way with arts in education in Ireland.",53520_201602,50,Ireland,201602,53520,502,502,Culture: Positive
70594,2,Other,an immigration program that is predominantly based on family reunions and other special humanitarian criteria as defined by international human rights Conventions.,Social Groups,Underprivileged Minority Groups,"Australia must assess in good faith all asylum seekers who arrive on our mainland or any of our islands, without discrimination based on the method of arrival.","all migrants to be given access to a full range of culturally sensitive, appropriate health services including a comprehensive medical examination on arrival.",63110_201008,70,Australia,201008,63110,705,705,Underprivileged Minority Groups
33521,2,Other,■ Conduct an energy audit of all public buildings and retrofit them to a high standard of energy efficiency accordingly.,Economy,Anti-Growth Economy: Positive,"■ Ban the use of hollow blocks in the construction or extension of all residential, commercial and public buildings.",■ Require the cost of carbon emissions as they relate to both the construction stage and projected ongoing energy requirements to be factored into all public infrastructure projects.,53320_200705,43,Ireland,200705,53320,416,416,Anti-Growth Economy: Positive
111998,2,Other,This will create an environmental buffer that helps improve water quality.,Welfare and Quality of Life,Environmental Protection,Spend $100 million over 10 years to buy and retire selected areas of farmland next to important waterways.,Require dairy cattle to be excluded from waterways by 1 July 2017.,64620_201409,132,New Zealand,201409,64620,501,501,Environmental Protection
65690,2,Other,"We also condemn the Supreme Court's lawless ruling in Obergefell v. Hodges, which in the words of the late Justice Antonin Scalia, was a “judicial Putsch” — full of “silly extravagances” — that reduced “the disciplined legal reasoning of John Marshall and Joseph Storey to the mystical aphorisms of a fortune cookie.”",Fabric of Society,Traditional Morality: Positive,"We condemn the Supreme Court's ruling in United States v. Windsor, which wrongly removed the ability of Congress to define marriage policy in federal law.","In Obergefell, five unelected lawyers robbed 320 million Americans of their legitimate constitutional authority to define marriage as the union of one man and one woman.",61620_201611,66,United States,201611,61620,603,603,Traditional Morality
8665,2,Other,extend pay-gap reporting to BAME groups,Welfare and Quality of Life,Equality: Positive,"Put wealth and power in the hands of the many,",and tackle pay discrimination on the basis of race.,51320_201912,10,United Kingdom,201912,51320,503,503,Equality: Positive
71076,2,Other,"create a Sustainability Commission to develop and implement sustainable industry strategies across all industry sectors, including a review of the Environmental Industry Action Agenda program.",Economy,Technology and Infrastructure: Positive,increase funding to the Australian Research Council and abolish the capacity for the Minister to veto board decisions.,refocus the CSIRO and CRCs back to public interest research and restore sufficient public funding to the CSIRO to allow it to conduct world-class research.,63110_201008,70,Australia,201008,63110,411,411,Technology and Infrastructure: Positive
29833,2,Other,"establish a system for regularly and rigorously assessing, auditing and reviewing tax expenditures including cost/benefit analysis for all tax reliefs;",Economy,Incentives: Positive,The Green Party has repeatedly demanded that tax residency rules be revised to ensure that those who benefit from Irish society also contribute to Irish society.,"discontinue reliefs that are costly, unproductive and unjustifiable;",53110_200705,36,Ireland,200705,53110,402,402,Incentives: Positive
