idx,label,label_text,text_original,label_domain_text,label_subcat_text,text_preceding,text_following,manifesto_id,doc_id,country_name,date,party,cmp_code_hb4,cmp_code,label_subcat_text_simple
30107,0,Other,and access to social and recreational facilities  are  areas  that  must  be  tackled  by  Government in order to redress the marginalisation experienced by too many communities in Ireland.,Welfare and Quality of Life,Welfare State Expansion,which  suggests that social exclusion is a key factor in crime rates.,These issues are dealt with in other sections of this manifesto.,53110_200705,36,Ireland,200705,53110,504,504,Welfare State
69057,0,Other,We will halt the current Administration's unconstitutional automatic denial of gun ownership to returning members of our Armed Forces who have had representatives appointed to manage their financial affairs.,Freedom and Democracy,Freedom and Human Rights,"particularly with regard to expediting disability claims, since those closest to an individual can often best diagnose a problem and apply a remedy.",We urge state education officials to promote the hiring of qualified veterans as teachers in our public schools.,61620_202011,67,United States,202011,61620,201,201.1,Freedom and Human Rights
45422,0,Other,Extending the Counselling in Primary Care service to more people,Welfare and Quality of Life,Welfare State Expansion,"Extending  youth mental health services, such as Jigsaw, which is free to access and does not require GP referral","Greater  access to counselling and psychological services, including to charities who offer free counselling for families",53520_201602,50,Ireland,201602,53520,504,504,Welfare State
98006,0,Other,Some supporters give their reasons in this manifesto.,No other category applies,No other category applies,"""Many people in New Zealand have already committed their votes to the Alliance.",The middle section contains Alliance policy highlights beginning with the most important of all - the Alliance Economic Plan.,64321_199311,110,New Zealand,199311,64321,000,000,No other category applies
77455,0,Other,Improved Year 12 retention – supported by more vocational pathways.,Welfare and Quality of Life,Education Expansion,Early intervention programs in every school.,Better access to allied health support – like speech and occupational therapists.,63320_201607,77,Australia,201607,63320,506,506,Education
114016,0,Other,which the Parliamentary Commissioner for the Environment has stated is the only option available to save our threatened native birds from extinction,Welfare and Quality of Life,Environmental Protection,"Politicising the environmental regulations controlling tools such as 1080,",Replacing our science-based environmental policy with political ideology,64620_201709,133,New Zealand,201709,64620,501,501,Environmental Protection
85179,0,Other,"A Regional Teacher Network will be established to provide the linkage between teachers and communities in regional areas, designed to ensure teacher relocation is hassle free.",Welfare and Quality of Life,Education Expansion,Regional teachers need support to ensure equity is provided and The Nationals will seek to implement a Teacher Relocation Incentive Scheme to address these problems.,"The Nationals’ initiative of Rural Teaching Schools is designed to address the lack of skilled educators in the regions and, via a fouryear pilot program, could lead to the creation of a federal government fund to establish permanent Rural Teaching Schools.",63810_201309,95,Australia,201309,63810,506,506,Education
76807,0,Other,"Today, Labor commits that if elected, we will reverse the $224 million cut – to keep these projects going in 2016-17.",External Relations,Internationalism: Positive,"Because of a $224 million cut to overseas aid in the Liberals’ last Budget, critical projects like maternal and child health, schooling, clean water, and sanitation, risk being axed from 30 June this year.","Since coming to Government in 2013, the Liberals have gutted Australia’s aid program.",63320_201607,77,Australia,201607,63320,107,107,Internationalism
8774,0,Other,So we will also implement an emergency package of reforms to mitigate some of the worst features of UC while we develop our replacement system.,Welfare and Quality of Life,Welfare State Expansion,"But we have learned the lessons from Tory failure: major policy change can’t be delivered overnight, especially when people’s lives depend on it.",We will end the five-week wait by introducing an interim payment based on half an estimated monthly entitlement.,51320_201912,10,United Kingdom,201912,51320,504,504,Welfare State
91301,0,Other,"Walking and cycling is good for road users, good for our kids and good for our environment - that is why we plan to invest over $45 million over five years towards cycling and walking infrastructure.",Economy,Technology and Infrastructure: Positive,"These changes will make all services more frequent and reliable, easier to use and more affordable.","By 2020, we will:Build a comprehensive safe cycleway network throughout Wellington, Porirua and the Hutt Cities",64110_201409,101,New Zealand,201409,64110,411,411,Technology and Infrastructure: Positive
