idx,label,label_text,text_original,label_domain_text,label_subcat_text,text_preceding,text_following,manifesto_id,doc_id,country_name,date,party,cmp_code_hb4,cmp_code,label_subcat_text_simple
226,2,Other,and encouragement for small firms and mutuals.,Economy,Market Regulation,"Foster institutional change in the economy that we want, with changes to company law",See the Changing Economic Organisations and Small Firms sections in Chapter 9.,51110_201505,1,United Kingdom,201505,51110,403,403,Market Regulation
98150,2,Other,The Alliance Is against free market changes to the health system started by Labour and now being pushed through by National.,Welfare and Quality of Life,Welfare State Expansion,Our emphasis is on providing a service.,The changes we propose are the minimum necessary.,64321_199311,110,New Zealand,199311,64321,504,504,Welfare State
99359,2,Other,This will lift the gap between welfare and work.,Economy,Incentives: Positive,• Immediately boost working New Zealander’s incomes through a general tax reduction.,"• Tighten up on welfare, by requiring all working age beneficiaries who can work, to work or train for 40 hours a week.",64420_200207,114,New Zealand,200207,64420,402,402,Incentives: Positive
12100,2,Other,Prohibit discrimination on the grounds of religion in the provision of public services.,Welfare and Quality of Life,Equality: Positive,and encourage external providers to the public sector to follow best practice in terms of diversity.,Move to ‘name blank’ recruitment wherever possible in the public sector.,51421_201505,14,United Kingdom,201505,51421,503,503,Equality: Positive
98221,2,Other,"People with a disability need choice, security and equity, to assist their independence and their integration into the wider community.",Social Groups,Underprivileged Minority Groups,"• Fund a major programme to minimise abusive and violent relationships and the damage they do to children, young people and women.",The Alliance believes those severely disabled people who are unable to secure regular employment should be entitled to a benefit which allows them to enjoy a reasonable standard of living.,64321_199311,110,New Zealand,199311,64321,705,705,Underprivileged Minority Groups
101328,2,Other,"Direct costs, at present are $1.4 billion and are expected to rise to $1.6 billion within three years.",Welfare and Quality of Life,Welfare State Limitation,"In 1975 we had 17,000 people on the DPB.",Domestic violence is almost always due to a failed relationship.,64421_200207,120,New Zealand,200207,64421,505,505,Welfare State
79053,2,Other,$256 million has been cut from schools in Far North Queensland.,Welfare and Quality of Life,Education Expansion,$675 million has been cut from schools in North Queensland.,The Liberals have cut billions from Queensland health facilities.,63320_201607,77,Australia,201607,63320,506,506,Education
67298,2,Other,We will explore the possibility of a free market for Cyber-Insurance and make clear that users have a selfdefense right to deal with hackers as they see fit.,Economy,Free Market Economy,The Republican Congress has passed important legislation to advance information-sharing among entities endangered by cyber attacks.,"It is critical that we protect the cyber supply chain to ensure against contamination of components made all over the world, sometimes in offending countries.",61620_201611,66,United States,201611,61620,401,401,Free Market Economy
34199,2,Other,We will explore appropriate fiscal support for employers.,No other category applies,No other category applies,Establish a legal right to take up to three years’ career break.,"Introduce a right to part-time work, subject to reasonable conditions.",53320_200705,43,Ireland,200705,53320,000,000,No other category applies
68198,2,Other,"We reject the agendas of both the Kyoto Protocol and the Paris Agreement, which represent only the personal commitments of their signatories;",External Relations,Internationalism: Negative,We will evaluate its recommendations accordingly.,no such agreement can be binding upon the United States until it is submitted to and ratified by the Senate.,61620_202011,67,United States,202011,61620,109,109,Internationalism
