idx,label,label_text,text_original,label_domain_text,label_subcat_text,text_preceding,text_following,manifesto_id,doc_id,country_name,date,party,cmp_code_hb4,cmp_code,label_subcat_text_simple
85699,0,Other,People are understandably concerned by the lack of reliable data to guide sensible policies,Social Groups,Agriculture and Farmers: Positive,The Australian Bureau of Statistics’ small voluntary sample suggests the amount of farmland in foreign hands in Australia has only risen by 0.1% over the past 30 years – from 5.9% to 6.0%.,It also means the Foreign Investment Review Board (FIRB) is not fully informed.,63810_201309,95,Australia,201309,63810,703,703,Agriculture and Farmers: Positive
6770,0,Other,"We will require joined-up admissions policies across local schools to enable councils to fulfil their responsibilities on child places,",Welfare and Quality of Life,Education Expansion,including appropriate controls to see that they serve the public interest and their local communities.,to simplify the admissions process for parents,51320_201706,9,United Kingdom,201706,51320,506,506,Education
29183,0,Other,"In their report of March 2017, Her Majesty’s Inspectorate of Constabulary highlighted an erosion of preventative policing and revealed a catalogue of failings.",Fabric of Society,Law and Order: Positive,"The thin blue line is no longer just thin, it is malnourished and emaciated.","Emergency calls were deliberately downgraded when fewer officers were on duty, and gang violence was not classified as organised crime to avoid having to deploy additional resources.",51951_201706,34,United Kingdom,201706,51951,605,605.1,Law and Order: Positive
79448,0,Other,Only in a society where individuals are free to pursue their individual goals can tyranny be avoided.,Freedom and Democracy,Freedom and Human Rights,Australians believe in freedom of choice and a “fair go” for all.,"Only in a society where opportunity, initiative and personal responsibility are fostered can prosperity be attained.",63410_201309,78,Australia,201309,63410,201,201,Freedom and Human Rights
110422,0,Other,"We continue to work hand-in-hand with ethnic communities to provide the tools needed to get started, get ahead and contribute to New Zealand's national goals.",Fabric of Society,Multiculturalism: Positive,Our success relies on us encouraging and growing this potential.,Part of this is ensuring we continue our proud heritage as a nation that respects and embraces diversity.,64620_201409,132,New Zealand,201409,64620,607,607.2,Multiculturalism
63813,0,Other,"Now, three decades later, as we face the task of cleaning up the wreckage of the current Administration’s policies, we propose a similar commission to investigate possible ways to set a fixed value for the dollar.",Economy,Economic Orthodoxy,The commission advised against such a move.,"Homeownership expands personal liberty, builds communities, and helps Americans create wealth.",61620_201211,65,United States,201211,61620,414,414,Economic Orthodoxy
26723,0,Other,Within this context there are four broad areas where progress is sought.,Fabric of Society,National Way of Life: Positive,These concerns fit within three broad categories: Our British Identity,"For significant periods of recent history, there has been a consistent attempt to reduce the display of British symbols.",51903_201706,31,United Kingdom,201706,51903,601,601.1,National Way of Life
68990,0,Other,"and we oppose anything which might divide or weaken team cohesion, including intra-military special interest demonstrations.",Fabric of Society,Traditional Morality: Positive,"We affirm the cultural values that encourage selfless service and superiority in battle,","In particular, we warn against modification or lessening of standards in order to satisfy a nonmilitary agenda imposed by the White House.",61620_202011,67,United States,202011,61620,603,603,Traditional Morality
26013,0,Other,It has moved to enshrine extended rights in law with the planned incorporation of the United Nations Convention on the Rights of the Child (UNCRC),Freedom and Democracy,Freedom and Human Rights,"In contrast, the Scottish Government is a leader in human rights.",and has established a human rights taskforce to develop a new statutory framework to improve human rights protection for everyone in Scotland.,51902_201912,29,United Kingdom,201912,51902,201,201.2,Freedom and Human Rights
53441,0,Other,b)  An all-Ireland Charter of Rights as provided for under the Good Friday Agreement.,Fabric of Society,National Way of Life: Positive,a) A referendum on Irish unity.,"c)  The integration of public services and infrastructure on an all-Ireland basis, enabling people to access services such as health and education nearest to them, regardless of which side of the border they are on.",53951_201102,55,Ireland,201102,53951,601,601,National Way of Life
34091,0,Other,The State Pension needs to be significantly enhanced in order to provide older people with an adequate income.,Social Groups,Non-economic Demographic Groups,"Older people, like all others, need an adequate income in order to avoid poverty and to enjoy a good quality of life.",Raise the level of the State non-Contributory pension to €300 by 2012.,53320_200705,43,Ireland,200705,53320,706,706,Non-economic Demographic Groups
46033,0,Other,To achieve our goal of providing more care in the community we must invest in more GP training places.,Welfare and Quality of Life,Welfare State Expansion,Primary Care Centres and GP access: We have committed funding for at least 80 additional primary care centres.,We will increase the number of GP training places by 100 over the next five years to 259 places annually.,53520_201602,50,Ireland,201602,53520,504,504,Welfare State
91134,0,Other,"To help secure the long-term prosperity of New Zealand, we will significantly ramp up our investment in innovation.",Economy,Technology and Infrastructure: Positive,"We invest roughly half of what most other developed countries do in research and development, and considerably less than other small, advanced economies like Denmark, Finland, or Israel.","We will invest an additional $1 billion of new government funding over three years for research and development, kick-starting a transformational shift in how our economy creates wealth.",64110_201409,101,New Zealand,201409,64110,411,411,Technology and Infrastructure: Positive
11742,0,Other,"Expand accessible green space with new National Nature Parks chosen by local communities,",Welfare and Quality of Life,Environmental Protection,and brought broadband to 80% of homes.,and plant a tree for every child born,51421_201505,14,United Kingdom,201505,51421,501,501,Environmental Protection
42069,0,Other,and intimidating group behaviour.,Fabric of Society,Law and Order: Positive,We will equip the Gardaí with the necessary powers to stop loitering,We will institute a real programme of restorative justice so that non-headline crime is reduced,53520_200705,48,Ireland,200705,53520,605,605,Law and Order: Positive
99605,0,Other,• All New Zealanders must share responsibility for environmental quality.,Welfare and Quality of Life,Environmental Protection,• We can’t save the environment by going back to old technology,• Prosperity is the key to achieving a cleaner and less risky environment.,64420_200207,114,New Zealand,200207,64420,501,501,Environmental Protection
